Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@61b3b85.as(iqi.a2db6511-95a5-4a9c-8470-db90600c595f)
     1,     85,    85,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, vnr_properties.12.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate OGM (embedded)).as(default)"
     1,    123,   123,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.244.html)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Tracing_java.html)"
     1,     91,    91,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.201.html)"
     1,     70,    70,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.294.html)"
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(c75d1d6f-6fe9-4b38-83c5-737f352d74ad)"
     1,    250,   250,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, modificarEstadoLogistico_properties.html)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jamon (embedded)).as(default)"
     1,     53,    53,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, WSUNOEESoap_java.84.html)"
     1,      1,     1,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Istio (embedded)).as(default)"
     1,     56,    56,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, cancelarOrdenCompra_properties.html)"
     1,     88,    88,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, rechazarCarpetaMatricula_properties.58.html)"
     1,     27,    27,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, autorizarCotizacionesTraslado_properties.html)"
     1,     96,    96,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, negociosExternos_properties.html)"
     1,      0,     0,00, Query.gremlin()org.jboss.windup.rules.apps.java.condition.JavaClass$2@3a8f4bf9.as(iqi.c96e703a-95d6-4ec8-bd7e-e657901936bc)
     1,      0,     0,00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[METHOD]).as(371834a6-10b5-4db7-9144-be868ea7abde)"
     1,      0,     0,00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OWASP CSRF Guard (embedded)).as(default)"
     1,     52,    52,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, reporteValorizaciones_properties.html)"
     1,     74,    74,00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, historicoReclamoGarantia_properties.html)"
